kn_gu,model,smoothing_cells,activity_threshold,common_mask_cells,Jaccard,Dice,precision,recall,q_common_E,q_common_C,q_common_G,q_common_angle_weighted_deg,q_common_angle_median_deg,q_common_angle_p90_deg
0.2,R26,3,0.07,11053,0.347900390625,0.5162108313711284,0.5785627283800243,0.46599084368868543,0.3732833179578519,0.9315037577830274,1.015406595813237,12.24470528227292,8.398189625730353,22.132055019194862
0.2,R13,3,0.1,5782,0.052163943823445115,0.09915554344865159,0.32971014492753625,0.05835203590894517,0.6953672182911347,0.7725149526573337,1.0559138241319974,32.65042177721488,26.40695804121882,61.812511983899014
0.2,R26,3,0.1,5782,0.2672393223574326,0.42176614573526644,0.5109489051094891,0.3590894517473549,0.3897020493344092,0.9263548064108659,1.0263593793860597,12.796202820327133,8.56807986426797,22.986125884501057
0.2,R13,5,0.03,19214,0.10442921364875819,0.18910983584679034,0.42900393581592494,0.12128734058033039,0.6312393617108011,0.8190826384447758,1.082444557435953,27.28555898557066,21.538273669791465,62.31185598374143
0.2,R26,5,0.03,19214,0.5331804782181461,0.6955221329687233,0.6943946762221653,0.6966532568689549,0.3650336501114409,0.934473913277414,1.015041030078786,11.692046120200189,8.10886826291813,22.125274168484246
0.2,R13,5,0.05,13288,0.06711923792839154,0.125795198029961,0.3482954545454545,0.07675932882544453,0.6273688075655814,0.8180479450676161,1.0686353771858466,27.791129030849444,21.655008536522008,59.536550114966055
0.2,R26,5,0.05,13288,0.49244855578629415,0.6599203086458795,0.6667092651757188,0.6532682193839219,0.364973075445445,0.9341732445159959,1.0108869758139136,11.88376296506582,8.353758552486333,21.72469194404623
0.2,R13,5,0.07,8391,0.06394607396611404,0.1202054794520548,0.31311329170383584,0.0743801652892562,0.6429301675017972,0.8055361916488232,1.0550311942841042,29.4011703564429,23.245505031295902,59.9298966173999
0.2,R26,5,0.07,8391,0.45052631578947366,0.6211901306240929,0.6080779378932413,0.6348802712439076,0.3767393865817381,0.9302248005088855,1.0153761063343407,12.317153259646592,8.621481594752227,22.833641929238972
0.2,R13,5,0.1,4142,0.0761904761904762,0.1415929203539823,0.2893081761006289,0.09373408048904738,0.7170859569912473,0.7538435740526359,1.0410584828831215,35.166785957039245,30.90462892794461,62.995844837922974
0.2,R26,5,0.1,4142,0.3434146341463415,0.5112563543936093,0.4870848708487085,0.5379521141110545,0.4007663516466831,0.9239128877025046,1.0431969716155436,13.075608772181344,8.62260278192014,23.812514210560483
0.2,R13,7,0.03,18608,0.1355239035396982,0.23869846000993541,0.47073230467793287,0.159886864653523,0.6273766995888054,0.8216667710451201,1.0838457286802747,27.09712560677923,21.01674672681238,61.12036336590378
