x_over_L,u_mean_over_Ulid,u_CI95_halfwidth_over_Ulid,slip_mean_over_Ulid,slip_CI95_halfwidth,temperature_mean_K,temperature_CI95_halfwidth_K,u_mean_11cell_over_Ulid,slip_mean_11cell_over_Ulid,temperature_mean_11cell_K
2.325000000000000122e-01,6.161273333333333602e-01,1.302089100981408155e-02,3.838726666666666953e-01,1.302089100981409196e-02,3.129486666666667247e+02,3.326992508407128568e+00,6.096520909090908935e-01,3.903479090909091620e-01,3.111085454545454922e+02
2.375000000000000167e-01,6.162046666666666228e-01,4.142917705257444932e-02,3.837953333333333217e-01,4.142917705257444239e-02,3.124973333333333017e+02,3.456371520998305247e+00,6.127616363636363417e-01,3.872383636363636583e-01,3.112301515151515332e+02
2.425000000000000211e-01,6.169000000000000039e-01,1.403208609293920585e-02,3.831000000000000516e-01,1.403208609293923881e-02,3.111896666666666533e+02,1.689011491276474874e+00,6.160088484848484924e-01,3.839911515151515631e-01,3.112576060606060651e+02
2.475000000000000255e-01,6.284106666666666730e-01,1.846422135496145894e-02,3.715893333333333270e-01,1.846422135496146935e-02,3.108640000000000327e+02,3.060432456453298755e+00,6.193084848484847749e-01,3.806915151515152251e-01,3.112150606060606037e+02
2.525000000000000022e-01,6.290470000000000228e-01,3.668448942294577630e-02,3.709530000000000327e-01,3.668448942294575549e-02,3.086790000000000305e+02,2.218852329047486638e+00,6.214643333333333963e-01,3.785356666666667147e-01,3.111674848484848326e+02
2.575000000000000067e-01,6.244853333333333367e-01,2.320296889430256346e-02,3.755146666666666633e-01,2.320296889430255652e-02,3.104523333333333426e+02,4.465659774252079828e+00,6.232919393939394537e-01,3.767080606060606573e-01,3.109716363636363212e+02
2.625000000000000111e-01,6.271146666666667091e-01,2.066414846127539659e-02,3.728853333333333464e-01,2.066414846127536883e-02,3.118236666666667247e+02,4.197225669646232227e+00,6.234023939393940061e-01,3.765976060606061049e-01,3.107506666666666888e+02
2.675000000000000155e-01,6.271136666666666803e-01,2.095193676066225280e-02,3.728863333333332641e-01,2.095193676066220770e-02,3.107146666666666874e+02,1.226405311715526913e+00,6.241177272727272962e-01,3.758822727272727038e-01,3.106241515151515387e+02
2.725000000000000200e-01,6.290013333333334122e-01,3.509387392575526871e-02,3.709986666666666988e-01,3.509387392575522013e-02,3.106123333333333107e+02,2.548823751952757899e+00,6.251127878787879899e-01,3.748872121212121211e-01,3.106158484848485841e+02
2.775000000000000244e-01,6.243769999999999598e-01,3.825526078944405106e-02,3.756229999999999847e-01,3.825526078944404412e-02,3.111526666666666188e+02,3.198518391870542210e+00,6.246258484848484782e-01,3.753741515151515773e-01,3.105105454545454791e+02
2.825000000000000289e-01,6.174296666666666544e-01,5.170055872606107300e-02,3.825703333333332901e-01,5.170055872606110769e-02,3.097536666666666747e+02,5.238413484515920260e+00,6.255888181818182181e-01,3.744111818181818374e-01,3.106841818181817985e+02
2.875000000000000333e-01,6.173423333333333263e-01,4.688273723546290683e-02,3.826576666666666182e-01,4.688273723546292071e-02,3.105180000000000291e+02,2.541936928884648950e+00,6.273405151515152323e-01,3.726594848484848788e-01,3.107043333333333521e+02
2.925000000000000377e-01,6.240733333333332578e-01,2.141165266113088939e-02,3.759266666666666867e-01,2.141165266113087204e-02,3.111056666666666501e+02,5.235691558062609552e+00,6.286623939393940486e-01,3.713376060606060070e-01,3.106876363636363862e+02
2.975000000000000422e-01,6.278456666666667463e-01,1.147688730272905522e-02,3.721543333333333092e-01,1.147688730272901532e-02,3.110983333333333576e+02,2.127526300552807559e+00,6.298232727272727871e-01,3.701767272727272129e-01,3.106819393939393876e+02
3.025000000000000466e-01,6.230543333333333766e-01,2.771608334009514202e-02,3.769456666666666789e-01,2.771608334009512467e-02,3.097056666666666729e+02,1.306959440861531929e+00,6.304277272727273340e-01,3.695722727272727215e-01,3.107070606060606224e+02
3.075000000000000511e-01,6.396396666666667175e-01,3.580445175022105991e-02,3.603603333333333381e-01,3.580445175022103216e-02,3.105889999999999986e+02,5.422095351430112231e+00,6.308903333333334418e-01,3.691096666666667803e-01,3.106424545454545409e+02
